model,group,effect_variable,group_sd_variable,estimate,posterior_sd,hdi_prob,hdi_lower,hdi_upper,r_hat,ess_bulk,ess_tail
mu,player,1|player_id,1|player_id_sigma,0.0562633943365928,0.0035684420013547226,0.95,0.04940502291009501,0.06346496484447507,1.0054390844826204,1572.929720193226,2128.3231449693963
alpha,player,alpha_1|player_id,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.95,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707
mu,opponent,1|opponent_id,1|opponent_id_sigma,0.027146956230023,0.004632696116313731,0.95,0.01928967181826663,0.037390508339466236,1.0014179648090518,2209.5496499269584,3015.287519049566
